ward_no,ward_name,date,latitude,longitude,current_avg,baseline_temp,anomaly
1,Kempegowda Ward,2025-05-31,13.115076,77.599161,25.45,25.87,-0.42
2,Chowdeswari Ward,2025-05-31,13.121913,77.578892,25.4,26.16,-0.76
3,Someshwara Ward,2025-05-31,13.103724,77.574374,25.45,26.22,-0.77
4,Atturu Layout,2025-05-31,13.095731,77.555048,25.4,26.16,-0.76
5,Yelahanka Satellite Town,2025-05-31,13.091345,77.587716,25.45,25.87,-0.42
17,Shettihalli,2025-05-31,13.064464,77.513493,25.25,26.47,-1.22
20,Mallasandra,2025-05-31,13.054804,77.515264,25.1,26.32,-1.22
59,Mattikere,2025-05-31,13.032896,77.561135,25.05,26.27,-1.22
60,Aramane Nagara,2025-05-31,13.015332,77.577051,24.9,26.12,-1.22
61,Malleswaram,2025-05-31,13.014428,77.561628,24.95,26.17,-1.22
37,Chanakya,2025-05-31,13.025463,77.555142,25.1,26.32,-1.22
41,Peenya,2025-05-31,13.028391,77.52682,25.05,26.27,-1.22
23,Nelagadderanahalli,2025-05-31,13.022592,77.505607,25.65,26.21,-0.56
53,Nandini Layout,2025-05-31,13.015885,77.535036,25.15,26.37,-1.22
50,Marappana Palya,2025-05-31,13.017752,77.54634,25.15,26.37,-1.22
62,Subramanya Nagar,2025-05-31,13.007002,77.557133,25.05,26.27,-1.22
64,Kadu Malleshwara,2025-05-31,13.002375,77.568511,25.05,26.26,-1.21
65,Rajamahal Guttahalli,2025-05-31,13.00138,77.579092,25.1,26.31,-1.21
119,New Bayappanahalli,2025-05-31,12.989132,77.631091,25.25,26.34,-1.09
132,Dattatreya Temple,2025-05-31,12.996543,77.574164,25.25,26.46,-1.21
134,Subhash Nagar,2025-05-31,12.982608,77.568729,25.3,26.51,-1.21
63,Gayithri Nagar,2025-05-31,12.997427,77.560516,25.25,26.46,-1.21
26,Hegganahalli,2025-05-31,13.003193,77.50905,25.5,26.07,-0.57
27,Sunkadakatte,2025-05-31,12.997855,77.501048,25.5,26.12,-0.62
45,Vijayanagara Krishnadevaraya,2025-05-31,12.98516,77.515269,25.8,26.37,-0.57
56,Shankar Matt,2025-05-31,12.997595,77.533632,25.25,26.44,-1.19
57,Shakthi Ganapathi Nagar,2025-05-31,12.993852,77.530966,25.3,26.51,-1.21
58,Vrisabhavathi Nagar,2025-05-31,12.988873,77.525938,25.3,26.51,-1.21
145,Kamakshipalya,2025-05-31,12.986987,77.534276,25.15,26.36,-1.21
144,Basaveshwara Nagar,2025-05-31,12.991526,77.542491,25.25,26.46,-1.21
143,Shivanagara,2025-05-31,12.988242,77.549704,25.2,26.41,-1.21
141,Rajaji Nagar,2025-05-31,12.994213,77.550776,25.2,26.41,-1.21
142,Sriramamandir,2025-05-31,12.983751,77.555927,25.3,26.51,-1.21
140,Prakash Nagar,2025-05-31,12.993128,77.558243,25.3,26.51,-1.21
139,Dayananda Nagar,2025-05-31,12.991084,77.564235,25.25,26.46,-1.21
135,Okalipuram,2025-05-31,12.982813,77.563861,25.35,26.56,-1.21
133,Gandhinagar,2025-05-31,12.981299,77.575763,25.15,26.36,-1.21
130,Bharathi Nagar,2025-05-31,12.988908,77.610615,25.25,26.38,-1.13
131,Ulsoor,2025-05-31,12.97985,77.619192,25.35,26.48,-1.13
120,Hoysala Nagar,2025-05-31,12.979899,77.637195,25.35,26.44,-1.09
125,Konena Agrahara,2025-05-31,12.957198,77.657932,25.35,26.48,-1.13
138,Chickpete,2025-05-31,12.970482,77.577288,25.15,26.36,-1.21
137,Cottonpete,2025-05-31,12.970318,77.56628,25.25,26.46,-1.21
136,Binnipete,2025-05-31,12.971881,77.559137,25.45,26.66,-1.21
33,Kengeri,2025-05-31,12.923632,77.486336,25.9,26.36,-0.46
210,Basavanagudi,2025-05-31,12.937298,77.56886,25.15,26.36,-1.21
212,Srinivasa Nagar,2025-05-31,12.942213,77.557105,25.3,26.51,-1.21
213,Srinagar,2025-05-31,12.942599,77.552625,25.3,26.51,-1.21
214,Girinagar,2025-05-31,12.939046,77.544936,25.45,26.66,-1.21
34,Bande Mutt,2025-05-31,12.913542,77.482954,26.0,26.46,-0.46
243,Kudlu,2025-05-31,12.888793,77.65877,25.05,26.08,-1.03
106,Hudi,2025-05-31,12.994981,77.722395,25.55,26.24,-0.69
115,Bellanduru,2025-05-31,12.939102,77.672906,25.45,26.58,-1.13
114,Marathahalli,2025-05-31,12.942594,77.696798,25.6,26.3,-0.7
107,Garudachar Playa,2025-05-31,12.99068,77.700622,25.45,26.14,-0.69
122,New Thippasandra,2025-05-31,12.976438,77.660126,25.35,26.44,-1.09
123,Jalakanteshwara Nagara,2025-05-31,12.979987,77.674375,25.45,26.54,-1.09
51,Nagapura,2025-05-31,13.00414,77.548455,25.15,26.36,-1.21
54,Jai Maruthinagara,2025-05-31,13.007934,77.532942,25.3,26.52,-1.22
55,Puneet Rajkumar,2025-05-31,13.001934,77.533647,25.3,26.51,-1.21
129,Sampangiram Nagar,2025-05-31,12.975556,77.596931,25.15,26.36,-1.21
121,Old Thippasandra,2025-05-31,12.973721,77.646974,25.35,26.44,-1.09
124,Jeevanbhima Nagar,2025-05-31,12.959117,77.650172,25.35,26.44,-1.09
40,Veeramadakari,2025-05-31,13.041729,77.535092,24.95,26.17,-1.22
93,HAL Airport,2025-05-31,12.957159,77.672609,25.35,26.44,-1.09
42,Lakshmi Devi Nagar,2025-05-31,13.014715,77.525427,25.1,26.32,-1.22
31,Doddagollarahatti,2025-05-31,12.968982,77.481448,26.0,26.57,-0.57
32,Ullal,2025-05-31,12.941459,77.488859,26.1,26.72,-0.62
21,T Dasarahalli,2025-05-31,13.044958,77.513389,25.15,26.37,-1.22
22,Chokkasandra,2025-05-31,13.038067,77.505536,25.65,26.21,-0.56
24,Rajagopal Nagar,2025-05-31,13.023129,77.517821,25.0,26.22,-1.22
25,Rajeshwari Nagar,2025-05-31,13.010224,77.513341,25.2,26.42,-1.22
43,Ranadheera Kanteerava,2025-05-31,13.006351,77.524465,25.25,26.47,-1.22
44,Veera Sindhura Lakshamana,2025-05-31,12.998224,77.515476,25.7,26.27,-0.57
