Station,AQI,latitude,longitude
2023 BWSSB Kadabesanahalli CPCB 2023,15.2,12.942708,77.653816
2024 BTM Layout CPCB 2024,58.4,12.908708,77.60062
2024 Bapuji Nagar KSPCB 2024,75.1,12.958608,77.54125
2024 City Railway Station KSPCB 2024,74.2,17.128234,76.940572
2024 Hebbal KSPCB 2024,55.2,13.041552,77.599516
2024 Hombegowda Nagar KSPCB 2024,52,13.000308,77.534646
2024 Jayanagar 5th Block KSPCB 2024,67.8,12.919086,77.583409
2024 Jigani KSPCB 2024,67,12.79371,77.669777
2024 Kasturi Nagar KSPCB 2024,77.7,12.998942,77.662214
2024 Peenya CPCB 2024,72.9,13.021409,77.513044
2024 RVCE-Mailasandra KSPCB 2024,87.5,12.92352,76.837547
2024 Sanegurava Halli KSPCB 2024,42.5,16.115031,77.063831
2024 Shivapura Peenya KSPCB 2024,67.3,13.030656,77.50536
2024 Silk Board KSPCB 2024,84,12.885963,77.656184
