ward_no,ward_name,avg_temp
1,Kempegowda Ward,24.559
2,Chowdeswari Ward,24.412
3,Someshwara Ward,24.463
4,Atturu Layout,24.412
5,Yelahanka Satellite Town,24.559
17,Shettihalli,24.606
20,Mallasandra,24.457
59,Mattikere,24.406
60,Aramane Nagara,24.257
61,Malleswaram,24.306
37,Chanakya,24.457
41,Peenya,24.406
23,Nelagadderanahalli,24.590
53,Nandini Layout,24.506
50,Marappana Palya,24.506
62,Subramanya Nagar,24.406
64,Kadu Malleshwara,24.384
65,Rajamahal Guttahalli,24.432
119,New Bayappanahalli,24.429
132,Dattatreya Temple,24.584
134,Subhash Nagar,24.632
63,Gayithri Nagar,24.584
26,Hegganahalli,24.465
27,Sunkadakatte,24.516
45,Vijayanagara Krishnadevaraya,24.765
56,Shankar Matt,24.558
57,Shakthi Ganapathi Nagar,24.632
58,Vrisabhavathi Nagar,24.632
145,Kamakshipalya,24.484
144,Basaveshwara Nagar,24.584
143,Shivanagara,24.532
141,Rajaji Nagar,24.532
142,Sriramamandir,24.632
140,Prakash Nagar,24.632
139,Dayananda Nagar,24.584
135,Okalipuram,24.684
133,Gandhinagar,24.484
130,Bharathi Nagar,24.479
131,Ulsoor,24.579
120,Hoysala Nagar,24.529
125,Konena Agrahara,24.579
138,Chickpete,24.484
137,Cottonpete,24.584
136,Binnipete,24.784
33,Kengeri,25.109
210,Basavanagudi,24.484
212,Srinivasa Nagar,24.632
213,Srinagar,24.632
214,Girinagar,24.784
34,Bande Mutt,25.209
243,Kudlu,24.491
106,Hudi,24.605
115,Bellanduru,24.679
114,Marathahalli,24.657
107,Garudachar Playa,24.505
122,New Thippasandra,24.529
123,Jalakanteshwara Nagara,24.629
51,Nagapura,24.484
54,Jai Maruthinagara,24.657
55,Puneet Rajkumar,24.632
129,Sampangiram Nagar,24.484
121,Old Thippasandra,24.529
124,Jeevanbhima Nagar,24.529
40,Veeramadakari,24.306
93,HAL Airport,24.529
42,Lakshmi Devi Nagar,24.457
31,Doddagollarahatti,24.965
32,Ullal,25.116
21,T Dasarahalli,24.506
22,Chokkasandra,24.590
24,Rajagopal Nagar,24.357
25,Rajeshwari Nagar,24.557
43,Ranadheera Kanteerava,24.606
44,Veera Sindhura Lakshamana,24.665
46,Sir M. Vishweshwaraiah,24.816
47,Nalvadi Krishnaraja Wadior Park,25.016
36,Chatrapati Shivaji,24.457
48,Jnana Bharathi,25.116
49,Rajarajeshwari Nagar,24.960
117,C V Raman Nagar,24.479
118,Lal Bahadur Nagar,24.379
211,Hanumanth Nagar,24.532
52,Mahalakshimpuram,24.406
216,Vidyapeeta ward,24.378
215,Katriguppe,24.578
224,Anjanapura,24.388
181,Shantala Nagar,24.479
200,Yediyur,24.378
167,Jagajivanaram Nagar,24.684
218,Subramanyapura,24.827
229,Ibluru,24.491
228,Naganathapura,24.345
71,Chamundi Nagara,24.430
239,Hulimavu,24.427
169,Devaraj Urs Nagar,24.784
241,Puttenahalli - Sarakki Lake,24.478
